1,3015,1,3,Jambo! Safari,Arcade,,Pinball,Sit Down,Working,
1,4943,7,1,Jaws (Stern),Pinball,,Pinball,Standard Cabinet,Working,
1,4978,7,1,Jim Henson's Labyrinth (Barrels of Fun),Pinball,,Arcade,Standard Cabinet,Working,
1,763,1,1,Journey,Arcade,,Arcade,Standard Cabinet,Working,
1,527,1,1,Joust,Arcade,,Arcade,Standard Cabinet,Working,
1,2378,1,3,Jurassic Park,Arcade,,Arcade,Sit Down,Working,
1,3880,1,3,Jurassic Park Arcade,Arcade,,Arcade,Sit Down,Working,
1,2349,1,1,Killer Instinct,Arcade,,Arcade,Standard Cabinet,Working,
1,3810,1,11,Killer Queen,Arcade,,Pinball,8+ Player,Working,
1,4966,7,1,King Kong: Myth of Terror Island (Stern),Pinball,,Arcade,Standard Cabinet,Working,
1,1984,1,16,King of the Monsters 2,Arcade,,Arcade,Neo Geo MVS,Working,
1,2071,1,1,Lethal Enforcers,Arcade,,Carnival,Standard Cabinet,Working,
1,5490,2,4,Love Tester,Carnival,,Arcade,Stand Up,Working,
1,2081,1,3,Lucky & Wild,Arcade,,Arcade,Sit Down,Working,
1,880,1,1,Marble Madness,Arcade,,Arcade,Standard Cabinet,Working,
1,3522,1,3,Mario Kart Arcade GP 2,Arcade,,Arcade,Sit Down,Working,
1,3522,1,3,Mario Kart Arcade GP 2,Arcade,,Arcade,Sit Down,Working,
1,2801,1,1,Marvel vs. Capcom: Clash of Super Heroes,Arcade,,Arcade,Standard Cabinet,Working,
1,2750,1,12,Maximum Force,Arcade,,Arcade,Area 51 + Maximum Force,Working,
1,2800,1,1,Metal Slug 2,Arcade,,Merchandiser (Claw Crane),Standard Cabinet,Working,
1,5568,1,21,Mini Claw Game,Arcade,,Arcade,Mini,Working,
1,322,1,1,Missile Command,Arcade,,Pinball,Standard Cabinet,Working,
1,558,1,1,Monster Bash,Arcade,,Arcade,Standard Cabinet,Working,
1,2057,1,1,Mortal Kombat,Arcade,,Arcade,Standard Cabinet,Working,
1,4487,1,5,Mortal Kombat 1 (2023),Arcade,,Arcade,Stylish Deluxe Cabinet,Working,
1,2748,1,1,Mortal Kombat 4,Arcade,,Arcade,Standard Cabinet,Working,
1,2245,1,1,Mortal Kombat II,Arcade,,Arcade,Standard Cabinet,Working,
1,488,1,13,Ms. Pac-Man,Arcade,,Arcade,Class Of 1981,Working,
1,4488,1,1,NAM-1975,Arcade,,Arcade,Standard Cabinet,Working,
1,1464,1,1,Narc,Arcade,,Arcade,Standard Cabinet,Working,
1,2252,1,1,NBA Jam Tournament Edition,Arcade,,Console,Standard Cabinet,Working,
1,5550,3,1,NES Classic Edition,Console,,Arcade,Standard Cabinet,Working,
1,2893,1,8,NFL Blitz 99,Arcade,,Arcade,4 Player,Working,
1,3994,1,1,Nidhogg 2,Arcade,,Arcade,Standard Cabinet,Working,
1,3886,1,14,Nitroplus Blasterz: Heroines Infinite Duel,Arcade,,Arcade,Candy Cab,Working,
1,3965,1,1,Nostalgia,Arcade,,Arcade,Standard Cabinet,Working,
1,1152,1,1,OutRun,Arcade,,Arcade,Standard Cabinet,Working,
1,308,1,1,Pac-Man,Arcade,,Arcade,Standard Cabinet,Working,
1,3710,1,1,Pac-Man Battle Royale,Arcade,,Arcade,Standard Cabinet,Working,
1,870,1,1,Paperboy,Arcade,,Arcade,Standard Cabinet,Working,
1,4494,1,1,Perfect Pour,Arcade,,Arcade,Standard Cabinet,Working,
1,4431,1,1,Pigskin 621 A.D.,Arcade,,Console,Standard Cabinet,Working,
1,5559,3,1,PlayStation 5,Console,,Arcade,Standard Cabinet,Working,
1,721,1,3,Pole Position II,Arcade,,Arcade,Sit Down,Working,
1,431,1,1,Polybius,Arcade,,Pinball,Standard Cabinet,Working,
1,5140,7,1,Pulp Fiction (Chicago Gaming Company),Pinball,,Arcade,Standard Cabinet,Working,
1,807,1,1,Punch-Out!!,Arcade,,Arcade,Standard Cabinet,Working,
1,537,1,1,Q*bert,Arcade,,Arcade,Standard Cabinet,Working,
1,421,1,15,Qix,Arcade,,Arcade,Silver Anniversary,Working,
1,1163,1,7,Rampage,Arcade,,Arcade,3 Player,Working,
1,1249,1,1,Rastan,Arcade,FALSE,Arcade,Standard Cabinet,Working,
1,339,1,1,Red Baron,Arcade,,Arcade,Standard Cabinet,Working,
1,4505,1,8,Retro Raccoons,Arcade,,Arcade,4 Player,Working,
1,2370,1,1,Revolution X,Arcade,,Arcade,Standard Cabinet,Working,
1,1451,1,1,RoboCop,Arcade,,Arcade,Standard Cabinet,Working,
1,486,1,1,Robotron: 2084,Arcade,,Arcade,Standard Cabinet,Working,
1,1634,1,1,S.T.U.N. Runner,Arcade,,Arcade,Standard Cabinet,Working,
1,2350,1,1,Samurai Shodown II,Arcade,,Arcade,Standard Cabinet,Working,
1,3442,1,1,Samurai Shodown VI,Arcade,,Arcade,Standard Cabinet,Working,
1,4509,1,3,Sea Wolf (2008 Taito/Coastal remake),Arcade,,Console,Sit Down,Working,
1,5556,3,1,Sega Genesis Mini,Console,,Arcade,Standard Cabinet,Working,
1,1314,1,1,Shinobi,Arcade,,Arcade,Standard Cabinet,Working,
1,3120,1,1,Silent Scope,Arcade,,Arcade,Standard Cabinet,Working,
1,635,1,1,Sinistar,Arcade,,Arcade,Standard Cabinet,Working,
1,1720,1,1,Smash T.V.,Arcade,,Arcade,Standard Cabinet,Working,
1,4157,1,1,Sound Voltex: Exceed Gear,Arcade,,Arcade,Standard Cabinet,Off the floor,
1,1028,1,1,Space Harrier,Arcade,,Arcade,Standard Cabinet,Working,
1,192,1,15,Space Invaders,Arcade,,Arcade,Silver Anniversary,Working,
1,702,1,15,Spy Hunter,Arcade,,Arcade,Silver Anniversary,Working,
1,2185,1,1,Star Wars Arcade,Arcade,,Arcade,Standard Cabinet,Working,
1,2891,1,3,Star Wars Trilogy Arcade,Arcade,,Arcade,Sit Down,Working,
1,3864,1,3,Star Wars: Battle Pod,Arcade,,Arcade,Sit Down,Working,
1,854,1,4,Star Wars: Return of the Jedi,Arcade,,Arcade,Stand Up,Working,
1,965,1,1,Star Wars: The Empire Strikes Back,Arcade,,Arcade,Standard Cabinet,Working,
1,5302,7,3,Stranger Things (Stern),Pinball,,Pinball,Sit Down,Working,
1,1300,1,1,Street Fighter,Arcade,,Arcade,Standard Cabinet,Working,
1,2461,1,14,Street Fighter Alpha: Warriors' Dreams,Arcade,,Arcade,Candy Cab,Working,
1,2015,1,1,Street Fighter II: Champion Edition,Arcade,,Arcade,Standard Cabinet,Working,
1,2960,1,1,Street Fighter III: 3rd Strike,Arcade,,Arcade,Standard Cabinet,Working,
1,4425,1,14,SVC Chaos: SNK vs. Capcom,Arcade,,Arcade,Candy Cab,Working,
1,5485,10,1,Table Hockey,Sports,,Sports,Standard Cabinet,Working,
1,693,1,4,Tapper,Arcade,,Arcade,Stand Up,Working,
1,4308,1,1,Tattoo Assassins,Arcade,,Arcade,Standard Cabinet,Working,
1,1908,1,1,Teenage Mutant Ninja Turtles: Turtles in Time,Arcade,,Arcade,Standard Cabinet,Working,
1,3397,1,8,Tekken 5,Arcade,,Arcade,4 Player,Working,
1,2968,1,1,Tekken Tag Tournament,Arcade,,Arcade,Standard Cabinet,Working,
1,422,1,1,Tempest,Arcade,,Arcade,Standard Cabinet,Working,
1,3672,1,1,Terminator Salvation,Arcade,,Arcade,Standard Cabinet,Working,
1,2869,1,1,The House of the Dead 2,Arcade,,Arcade,Standard Cabinet,Working,
1,2334,1,1,The King of Fighters '94,Arcade,,Arcade,Standard Cabinet,Working,
1,2187,1,1,The Punisher,Arcade,,Arcade,Standard Cabinet,Working,
1,4178,1,1,The Simpsons,Arcade,,Arcade,Standard Cabinet,Working,
1,698,1,1,Track & Field,Arcade,,Arcade,Standard Cabinet,Working,
1,528,1,1,Tron,Arcade,,Arcade,Standard Cabinet,Working,
1,4429,1,1,Twinkle Star Sprites,Arcade,,Arcade,Standard Cabinet,Working,
1,2726,1,1,Vampire Savior: The Lord of Vampire,Arcade,,Arcade,Standard Cabinet,Working,
1,4523,1,14,Vengeance Hunters,Arcade,,Arcade,Candy Cab,Working,
1,2951,1,1,War: Final Assault,Arcade,,Arcade,Standard Cabinet,Working,
1,3055,1,1,WWF Royal Rumble,Arcade,,Arcade,Standard Cabinet,Working,
1,2498,1,1,WWF WrestleMania: The Arcade Game,Arcade,,Arcade,Standard Cabinet,Working,
1,1987,1,1,X-Men,Arcade,,Arcade,Standard Cabinet,Working,
1,2629,1,10,X-Men vs. Street Fighter,Arcade,,Arcade,6 Player,Working,
1,4433,1,1,Xeno Crisis,Arcade,,Arcade,Standard Cabinet,Working,
1,2484,1,1,Zombie Raid,Arcade,,Arcade,Standard Cabinet,Working,
1,728,1,1,Zoo Keeper,Arcade,,Arcade,Standard Cabinet,Working,
