1,1455
2,688
2,1023
2,1100
2,1447
2,1448
2,1770
2,5313
2,5314
3,1296
3,1452
3,1727
3,2428
4,1300
4,1834
4,2452
4,2461
4,2646
4,2707
4,3579
4,4077
4,5303
5,2057
5,2245
5,2435
5,2508
5,2748
5,4487
6,2057
7,2057
7,2435
8,2518
12,3906
12,3945
13,4021
14,3226
14,4424
15,2630
15,2869
15,3017
15,3275
15,3434
15,3514
15,3551
15,3606
15,4045
16,4021
17,3226
17,4424
22,3536
24,2645
24,2866
24,2993
24,3057
24,3811
24,4010
30,3226
30,4424
31,4039
35,4160
39,1890
39,1949
39,1964
39,2177
39,2609
39,3721
39,3809
39,3827
39,3887
39,3918
39,4112
39,4426
39,5492
41,1041
42,1300
42,1834
42,2452
42,2461
42,2566
42,2843
42,3579
42,4077
42,5303
46,2360
46,2466
46,2712
46,2968
46,3214
46,3397
46,3546
46,3882
47,2334
47,2476
47,2619
47,2739
47,2849
47,2975
47,3100
47,3227
47,3294
47,3344
47,3449
47,3619
47,3680
47,3941
48,2208
48,3460
48,3693
48,3980
50,3226
50,4424
53,5131
58,4039
59,3536
60,3226
60,4424
65,4039
66,3353
66,3603
67,1300
67,1834
67,2015
67,2088
67,2099
67,2201
67,2282
67,2452
67,2461
67,2566
67,2594
67,2629
67,2646
67,2671
67,2707
67,2714
67,2734
67,2746
67,2755
67,2840
67,2843
67,2960
67,2963
67,3181
67,3347
67,3579
67,3620
67,3698
67,3832
67,3844
67,4077
67,4198
67,4327
67,4517
67,5303
71,2360
71,2466
71,2712
71,2968
71,3214
71,3397
71,3453
71,3546
71,3599
71,3733
71,3754
71,3769
71,3882
71,3937
71,4074
72,5001
72,5357
72,5359
79,3906
79,3945
80,3226
80,4424
81,3914
81,4273
91,4160
92,1163
92,2749
93,4021
99,3545
99,3766
99,3903
99,3928
99,4131
99,4195
99,4266
100,3914
100,4273
101,3789
102,1890
102,1949
102,1964
102,2177
102,2609
102,3721
102,3809
102,3827
102,3887
102,3918
102,4112
102,4426
102,5492
104,2057
104,2245
104,2435
104,2508
104,2748
104,4057
104,4197
104,4421
104,4487
106,3226
106,4424
107,1890
107,1949
107,1964
107,2177
107,2609
107,3721
107,3809
107,3827
107,3887
107,3918
107,4112
107,4426
107,5492
111,688
111,1023
111,1100
111,1447
111,1448
111,1770
111,3447
111,5313
113,1964
113,2177
113,4426
114,4172
117,2057
117,2245
117,2435
117,4487
118,3536
119,1300
119,1834
119,2452
119,3579
119,4077
120,3914
120,4273
121,688
121,694
121,1023
121,1100
121,1447
121,1448
121,1753
121,1764
121,1770
121,1956
121,2115
121,2231
121,2232
121,2673
121,3355
121,3385
121,3446
121,3447
121,3522
121,3649
121,3725
121,3788
121,3807
121,3813
121,3855
121,3890
121,3891
121,3898
121,3899
121,3918
121,3935
121,3974
121,3975
121,3976
121,3979
121,4059
121,4060
121,4112
121,4370
121,5313
121,5314
122,3226
122,4424
