1,332
1,331
1,327
1,347
1,441
1,1810
1,2573
1,3418
2,332
2,356
3,356
3,1379
3,1380
5,1715
5,1716
6,79
6,3349
6,3352
6,3345
7,3346
7,3353
7,3414
8,79
8,3349
8,3352
11,2115
11,3349
12,2276
13,175
13,228
13,231
13,2609
14,175
14,228
14,231
14,2609
15,563
15,564
15,1364
15,1366
15,2428
17,1715
17,1716
17,2487
17,2612
22,449
22,450
22,451
22,452
22,453
22,1711
22,2015
22,2088
22,2099
22,2201
22,2282
22,2452
22,2461
22,2566
22,2629
22,2646
22,2671
22,2707
22,2714
22,2734
22,2755
22,2840
22,2843
22,2960
22,2963
22,3223
22,3327
22,3328
22,3329
22,3330
22,3331
22,3495
23,1327
23,1780
23,2323
23,2422
23,2726
23,2744
23,3163
25,371
25,372
25,373
25,403
25,1747
25,1748
25,1749
25,1750
25,2057
25,2245
25,2435
25,2508
25,2748
25,3324
25,3325
25,3326
25,3497
26,3458
27,46
27,47
27,48
27,1360
27,1361
27,1362
27,3348
29,371
29,372
29,373
29,403
29,1747
29,1748
29,1749
29,1750
29,2057
29,2245
29,2435
29,2508
29,2748
29,3324
29,3325
29,3326
29,3497
30,2211
32,228
32,231
32,697
32,704
32,1038
32,1045
32,1964
32,1999
32,2177
32,2609
44,3385
59,567
59,570
60,327
60,331
60,332
60,347
60,441
60,734
60,1580
60,1615
60,1753
60,1810
60,2264
60,2573
60,2662
60,3293
60,3418
61,3419
66,228
66,231
66,697
66,704
66,1038
66,1045
66,1964
66,1999
66,2177
66,2609
68,3419
69,3419
86,65
87,3419
90,3367
92,1715
92,1716
92,2487
92,2612
92,3172
92,3173
92,3214
92,3215
92,3217
92,3218
94,3419
101,213
101,1086
101,2197
101,2296
101,3159
102,3419
103,3419
108,3371
112,3407
113,3419
114,175
114,228
114,231
114,703
114,704
114,1038
114,1044
114,1045
114,1964
114,1998
114,1999
114,2177
114,2609
115,232
115,278
115,1233
115,2187
115,2359
115,3156
115,3187
115,3230
119,3358
121,3383
123,65
125,3364
126,3379
127,3469
128,3385
129,228
129,231
129,697
129,704
129,1038
129,1045
129,1964
129,1999
129,2177
130,3419
135,441
135,734
135,3362
135,3489
160,3372
160,3443
